ID,Easting_X,Northing_Y
WB_001_Lagos_Island,108579.625,271369.666
WB_002_Ibadan_City,153247.883,364528.771
WB_003_Abeokuta,107832.445,318742.113
WB_004_Ilorin,230447.334,514774.228
WB_005_Akure,189654.221,398127.334
WB_006_Ado_Ekiti,213445.778,432891.556
WB_007_Osogbo,194332.667,401654.889
WB_008_Sokoto,128934.556,1142387.334
WB_009_Kebbi_Birnin,110234.778,1092456.667
WB_010_Shagamu,143256.334,298765.445
MB_011_Abuja_Aso_Rock,560171.842,559137.484
MB_012_Kano_City,671063.847,885033.287
MB_013_Kaduna_Town,554961.447,714483.228
MB_014_Jos_Plateau,704847.334,648334.771
MB_015_Port_Harcourt,520948.334,282476.118
MB_016_Enugu_City,634782.119,423891.334
MB_017_Benin_City,516234.778,342187.556
MB_018_Warri,502134.445,298456.223
MB_019_Onitsha,611345.667,387234.889
MB_020_Makurdi,647891.334,512345.667
MB_021_Minna_NigerState,582334.778,618234.556
MB_022_Lokoja_Confluence,569234.445,472891.334
MB_023_Lafia_Nasarawa,626134.778,584234.556
MB_024_Awka,622891.334,402134.667
MB_025_Umuahia,638234.556,352891.334
MB_026_Owerri,601234.778,328134.556
MB_027_Calabar,671891.334,298234.667
MB_028_Uyo,649234.556,278891.334
MB_029_Yenagoa,539134.778,248234.556
MB_030_Asaba,555891.334,358134.667
EB_031_Maiduguri,1181254.343,866127.569
EB_032_Yola_Adamawa,1110833.228,579447.334
EB_033_Gombe_Town,1087234.556,718234.778
EB_034_Jalingo_Taraba,1098456.334,634891.556
EB_035_Damaturu_Yobe,1142234.778,812456.334
EB_036_Potiskum,1118891.334,798234.667
EB_037_Biu_Borno,1158234.556,742891.334
EB_038_Numan_Adamawa,1089134.778,602234.556
EB_039_Mubi_Adamawa,1117891.334,668134.667
EB_040_Bama_Borno,1198234.556,852891.334
